ID,Year,CC,Mileage,Price
0,2003,1598,90500,3999
1,2004,1598,60500,4495
2,2013,1598,60500,9975
3,2009,1397,60500,6995
4,2006,1598,60500,6495
5,2010,1598,30500,11995
6,2007,1598,40500,5500
7,2004,1598,90500,5490
8,2003,1598,130500,2575
9,2005,1598,80500,4999
10,2008,1397,90500,4395
11,2015,1496,10500,1277
12,2008,1598,70500,5195
13,2011,1598,60500,7995
14,2014,1499,10500,10450
15,2013,1598,20500,10995
16,2015,1496,10500,15450
17,2005,1598,100500,3695
18,2004,1598,70500,4995
19,2004,1598,70500,3495
20,2003,1598,120500,3290
21,2002,1598,130500,2550
22,2003,1598,100500,3300
23,2007,1598,50500,6495
24,2005,1598,60500,4295
25,2004,1598,50500,4299
26,2004,1598,50500,4299
27,2001,1598,20500,1700
28,2001,1598,100500,2595
29,2003,1598,90500,3800
30,2006,1598,70500,5990
31,2002,1598,70500,4450
32,2004,1598,90500,3495
33,2009,1598,50500,6995
34,2004,1598,80500,3695
35,2006,1598,50500,5500
36,2010,1395,40500,8995
37,2005,1598,100500,2995
38,2010,1560,60500,7995
39,2008,1397,50500,6695
40,2003,1598,110500,1750
41,2011,1598,30500,8750
42,2007,0,90500,4100
43,2007,1598,120500,3699
44,2007,1598,70500,4795
45,2007,1598,130500,5500
46,2010,1598,60500,6750
47,2002,1598,70500,2495
48,2004,1598,110500,3245
49,2012,1995,60500,11000
50,2007,1598,120500,4590
51,2012,1995,50500,10000
52,2003,1598,110500,2700
53,2004,1598,80500,3600
54,2006,1598,100500,3300
55,2008,1598,50500,1034
56,2005,1598,130500,2799
57,2009,1598,120500,5495
58,1992,1300,40500,6995
59,2007,1598,80500,4995
60,2011,1598,60500,7995
61,2008,1598,50500,1995
62,2007,1598,40500,7500
63,2010,1598,30500,8499
64,2003,1600,30500,3700
65,2005,1598,90500,3595
66,2012,1598,80500,6555
67,2015,1499,20500,12000
68,2006,1598,70500,3600
69,2003,1598,80500,2700
70,2010,1397,80500,6495
71,2006,1598,50500,5990
72,2011,1598,40500,6990
73,2002,1598,150500,2400
74,2008,1598,80500,6000
75,2007,1598,90500,3950
76,2005,1598,80500,3695
77,2013,1598,20500,9295
78,2003,1598,100500,2395
79,2006,1598,60500,4995
80,2007,1598,50500,5450
81,2004,1598,110500,3295
82,2011,1598,50500,7400
83,2003,1598,80500,2895
84,2010,1598,30500,7295
85,2003,1598,90500,2100
86,2010,1598,70500,5495
87,2006,1598,90500,3795
88,2012,1598,40500,9995
89,2004,1598,90500,5495
90,2005,1598,70500,4495
91,2007,1598,110500,2950
92,2013,1598,40500,9495
93,2007,1598,50500,5995
94,2007,1598,50500,5995
95,2003,1598,70500,3995
96,2007,1598,70500,3795
97,2004,1598,100500,3495
98,2006,1598,40500,4999
99,2004,1598,90500,3195
100,2010,1598,120500,3799
101,2007,1598,40500,5250
102,2005,1598,60500,1995
103,2002,1598,110500,2495
104,2007,1598,60500,4895
105,2004,1598,110500,3595
106,2008,1397,110500,4995
107,2013,1598,50500,9000
108,1980,1098,70500,3850
109,2012,1598,20500,9495
110,2006,1598,90500,3500
111,2009,1397,100500,4995
112,2004,1598,80500,3695
113,2010,1598,40500,7750
114,2005,1598,90500,3395
115,2006,1598,70500,3900
116,2002,1598,90500,2800
117,2010,1598,50500,1995
118,2004,1598,70500,4495
119,2007,1398,110500,3495
120,2010,1598,50500,1495
121,2010,1598,50500,1033
122,2003,1600,100500,3200
123,2004,1598,70500,4495
124,2010,1598,50500,1033
125,2003,1598,70500,2499
126,2011,1598,40500,6500
127,2008,1598,30500,9599
128,2006,1598,80500,4450
129,2007,1598,90500,6000
130,2005,1598,130500,3795
131,2009,1598,50500,9099
132,2006,1598,70500,3750
133,2006,1598,100500,3990
134,2013,1995,50500,12000
135,2004,1600,100500,2195
136,2006,1598,80500,4195
137,2013,1995,30500,14843
138,2009,1598,50500,6495
139,2007,1397,80500,5995
140,2006,1598,50500,5990
141,2001,1598,90500,2295
142,2012,1598,40500,1045
143,2010,1598,50500,6800
144,2002,1598,100500,4495
145,2002,1598,70500,2990
146,2008,1598,140500,5250
147,2006,1598,100500,3985
148,2007,1598,40500,5250
149,2014,1496,10500,14250
150,2013,1598,40500,7995
151,2012,1598,40500,8695
152,2010,1598,50500,8982
153,2009,1397,30500,6000
154,2013,1995,40500,11500
155,2006,1598,80500,4750
156,2003,1598,90500,2995
157,2002,1598,110500,2670
158,2003,1598,100500,3495
159,2007,0,140500,2900
160,2007,1598,100500,4999
161,2011,1995,60500,9289
162,2013,1598,40500,10495
163,2004,1598,110500,2895
164,2004,1598,60500,4990
165,2013,1598,20500,6995
166,2001,1598,100500,2800
167,2012,1598,60500,8210
168,2009,1598,40500,6295
169,2015,1496,10500,15500
170,2015,1496,20500,15500
171,2008,1598,80500,4695
172,2006,1600,90500,3750
173,2010,1598,50500,7250
174,2003,1598,90500,3150
175,2004,0,100500,2700
176,2014,1496,10500,14250
177,2004,1598,100500,3790
178,2004,1598,60500,4500
179,2004,1598,80500,3500
180,2005,1598,50500,3750
181,2004,1598,90500,4350
182,1996,1300,40500,6995
183,2008,1598,60500,7290
184,2006,0,80500,6000
